Searching four MU bases: d=6, {I,B1,B2,B3}, 200 starts
  start 0: cost 1.130085e-01   (best 1.130085e-01)
  start 1: cost 6.402835e-02   (best 6.402835e-02)
  start 2: cost 2.562461e-02   (best 2.562461e-02)
  start 3: cost 8.077791e-02   (best 2.562461e-02)
  start 4: cost 6.402835e-02   (best 2.562461e-02)
  start 5: cost 6.402835e-02   (best 2.562461e-02)
  start 6: cost 1.244022e-01   (best 2.562461e-02)
  start 7: cost 1.214126e-01   (best 2.562461e-02)
  start 8: cost 1.214126e-01   (best 2.562461e-02)
  start 9: cost 2.562461e-02   (best 2.562461e-02)
  start 10: cost 6.402835e-02   (best 2.562461e-02)
  start 11: cost 2.562461e-02   (best 2.562461e-02)
  start 12: cost 8.077791e-02   (best 2.562461e-02)
  start 13: cost 2.562461e-02   (best 2.562461e-02)
  start 14: cost 3.059320e-01   (best 2.562461e-02)
  start 15: cost 2.562461e-02   (best 2.562461e-02)
  start 16: cost 8.077791e-02   (best 2.562461e-02)
  start 17: cost 2.562461e-02   (best 2.562461e-02)
  start 18: cost 3.355836e-01   (best 2.562461e-02)
  start 19: cost 6.402835e-02   (best 2.562461e-02)
  start 20: cost 6.402835e-02   (best 2.562461e-02)
  start 21: cost 2.303514e-01   (best 2.562461e-02)
  start 22: cost 6.402835e-02   (best 2.562461e-02)
  start 23: cost 6.402835e-02   (best 2.562461e-02)
  start 24: cost 6.402835e-02   (best 2.562461e-02)
  start 25: cost 8.077791e-02   (best 2.562461e-02)
  start 26: cost 6.402835e-02   (best 2.562461e-02)
  start 27: cost 2.562461e-02   (best 2.562461e-02)
  start 28: cost 2.562461e-02   (best 2.562461e-02)
  start 29: cost 6.402835e-02   (best 2.562461e-02)
  start 30: cost 6.402835e-02   (best 2.562461e-02)
  start 31: cost 2.562461e-02   (best 2.562461e-02)
  start 32: cost 6.402835e-02   (best 2.562461e-02)
  start 33: cost 2.562461e-02   (best 2.562461e-02)
  start 34: cost 6.402835e-02   (best 2.562461e-02)
  start 35: cost 1.130085e-01   (best 2.562461e-02)
  start 36: cost 6.402835e-02   (best 2.562461e-02)
  start 37: cost 6.402835e-02   (best 2.562461e-02)
  start 38: cost 6.402835e-02   (best 2.562461e-02)
  start 39: cost 1.244022e-01   (best 2.562461e-02)
  start 40: cost 1.244022e-01   (best 2.562461e-02)
  start 41: cost 6.402835e-02   (best 2.562461e-02)
  start 42: cost 2.562461e-02   (best 2.562461e-02)
  start 43: cost 6.402835e-02   (best 2.562461e-02)
  start 44: cost 6.402835e-02   (best 2.562461e-02)
  start 45: cost 3.355836e-01   (best 2.562461e-02)
  start 46: cost 1.785433e-01   (best 2.562461e-02)
  start 47: cost 6.402835e-02   (best 2.562461e-02)
  start 48: cost 6.402835e-02   (best 2.562461e-02)
  start 49: cost 3.133700e-01   (best 2.562461e-02)
  start 50: cost 2.562461e-02   (best 2.562461e-02)
  start 51: cost 6.402835e-02   (best 2.562461e-02)
  start 52: cost 2.562461e-02   (best 2.562461e-02)
  start 53: cost 6.402835e-02   (best 2.562461e-02)
  start 54: cost 6.402835e-02   (best 2.562461e-02)
  start 55: cost 2.562461e-02   (best 2.562461e-02)
  start 56: cost 6.402835e-02   (best 2.562461e-02)
  start 57: cost 6.402835e-02   (best 2.562461e-02)
  start 58: cost 2.562461e-02   (best 2.562461e-02)
  start 59: cost 8.077791e-02   (best 2.562461e-02)
  start 60: cost 2.562461e-02   (best 2.562461e-02)
  start 61: cost 6.402835e-02   (best 2.562461e-02)
  start 62: cost 6.402835e-02   (best 2.562461e-02)
  start 63: cost 2.562461e-02   (best 2.562461e-02)
  start 64: cost 1.677224e-01   (best 2.562461e-02)
  start 65: cost 1.677224e-01   (best 2.562461e-02)
  start 66: cost 6.402835e-02   (best 2.562461e-02)
  start 67: cost 4.033304e-01   (best 2.562461e-02)
  start 68: cost 6.402835e-02   (best 2.562461e-02)
  start 69: cost 1.677224e-01   (best 2.562461e-02)
  start 70: cost 6.402835e-02   (best 2.562461e-02)
  start 71: cost 1.244022e-01   (best 2.562461e-02)
  start 72: cost 8.077791e-02   (best 2.562461e-02)
  start 73: cost 1.130085e-01   (best 2.562461e-02)
  start 74: cost 6.402835e-02   (best 2.562461e-02)
  start 75: cost 1.244022e-01   (best 2.562461e-02)
  start 76: cost 1.677224e-01   (best 2.562461e-02)
  start 77: cost 3.201069e-01   (best 2.562461e-02)
  start 78: cost 2.177674e-01   (best 2.562461e-02)
  start 79: cost 2.562461e-02   (best 2.562461e-02)
  start 80: cost 3.340721e-01   (best 2.562461e-02)
